,time,open,highest,lowest,close,volume,amount
106,1518942420000,10474.34,10474.35,10430.0,10430.0,1036.0,9.912909744091001
107,1518942480000,10430.0,10467.88,10428.48,10443.69,428.0,4.095140073485
108,1518942540000,10435.81,10447.58,10414.45,10414.45,2674.0,25.61365077105
109,1518942600000,10414.98,10450.1,10411.48,10429.1,474.0,4.54346102022
110,1518942660000,10429.1,10446.71,10413.33,10413.33,190.0,1.82121580686
111,1518942720000,10408.77,10419.01,10390.23,10395.65,668.0,6.418270044044
112,1518942780000,10399.38,10408.81,10391.16,10391.16,172.0,1.654150016974
113,1518942840000,10390.24,10390.24,10351.48,10365.69,468.0,4.507743010219
114,1518942900000,10358.31,10389.45,10358.31,10381.7,1926.0,18.55410376219
115,1518942960000,10378.0,10407.0,10378.0,10390.33,520.0,5.008542262201
116,1518943020000,10398.38,10407.0,10377.25,10379.73,458.0,4.40561259346
117,1518943080000,10392.01,10392.01,10374.14,10382.0,208.0,2.002983650892
118,1518943140000,10376.84,10380.61,10362.1,10362.1,3062.0,29.520534793188
119,1518943200000,10365.86,10373.78,10341.6,10350.0,626.0,6.049023953056
120,1518943260000,10350.0,10363.06,10349.28,10360.0,330.0,3.1865558990219998
121,1518943320000,10345.47,10349.28,10338.57,10341.04,1382.0,13.364200158715
122,1518943380000,10347.83,10391.86,10347.83,10360.58,402.0,3.876115805467
123,1518943440000,10354.67,10357.63,10350.89,10350.89,34.0,0.328430092567
124,1518943500000,10364.27,10368.61,10336.51,10336.51,632.0,6.099988299274
125,1518943560000,10330.53,10370.58,10329.78,10341.93,396.0,3.8314886399129997
126,1518943620000,10333.0,10354.65,10333.0,10348.15,108.0,1.044370577424
127,1518943680000,10348.55,10348.55,10332.0,10336.69,334.0,3.230643647144
128,1518943740000,10350.99,10350.99,10339.18,10345.5,3744.0,36.189762565026
129,1518943800000,10350.0,10386.03,10350.0,10385.0,330.0,3.183718514303
130,1518943860000,10370.97,10370.97,10352.73,10370.95,164.0,1.581758065371
131,1518943920000,10370.95,10370.95,10342.13,10342.13,178.0,1.719067100144
132,1518943980000,10349.98,10353.93,10320.5,10320.5,320.0,3.096854978103
133,1518944040000,10320.0,10320.0,10287.55,10291.3,658.0,6.386364709764
134,1518944100000,10296.12,10305.68,10277.86,10286.61,2196.0,21.347671251415
135,1518944160000,10304.13,10314.98,10304.13,10311.22,128.0,1.2412775217829999
136,1518944220000,10286.63,10286.63,10270.3,10270.3,180.0,1.750761146943
137,1518944280000,10266.5,10266.5,10251.0,10257.8,532.0,5.18774004829
138,1518944340000,10258.77,10290.45,10257.8,10290.45,1922.0,18.681576728609
139,1518944400000,10290.46,10290.46,10256.34,10283.92,260.0,2.527451569621
140,1518944460000,10284.7,10286.82,10275.42,10286.82,82.0,0.797389467263
141,1518944520000,10304.02,10304.02,10294.56,10298.78,42.0,0.40768912571800003
142,1518944580000,10304.22,10326.44,10290.0,10290.01,3688.0,35.823036400016
143,1518944640000,10290.07,10333.83,10290.01,10333.83,536.0,5.19914735405
144,1518944700000,10333.94,10367.31,10333.94,10358.8,168.0,1.6225123315939998
145,1518944760000,10358.8,10358.8,10332.68,10352.76,310.0,2.995387065044
146,1518944820000,10354.89,10354.89,10354.89,10354.89,8.0,0.077258184297
147,1518944880000,10362.14,10362.14,10348.18,10348.44,186.0,1.7958358485569998
148,1518944940000,10367.82,10384.69,10345.96,10351.13,1512.0,14.597033729791
149,1518945000000,10359.56,10360.48,10329.71,10360.36,336.0,3.2463212196599995
150,1518945060000,10328.92,10354.72,10301.96,10342.47,190.0,1.8390585279629998
151,1518945120000,10326.15,10339.67,10326.15,10339.66,1386.0,13.413276595792
152,1518945180000,10341.73,10362.32,10341.73,10362.32,54.0,0.5214959325240001
153,1518945240000,10352.37,10352.37,10348.95,10350.7,212.0,2.048140717401
154,1518945300000,10350.7,10350.7,10350.7,10350.7,0.0,0.0
155,1518945360000,10366.57,10366.57,10359.59,10359.59,1942.0,18.733319652376
156,1518945420000,10369.51,10371.68,10369.51,10371.68,12.0,0.115719851303
157,1518945480000,10371.68,10371.68,10371.68,10371.68,0.0,0.0
158,1518945540000,10386.0,10391.62,10386.0,10391.62,418.0,4.0246277365530005
159,1518945600000,10404.57,10404.6,10388.02,10388.02,30.0,0.28846098789999997
160,1518945660000,10387.57,10389.97,10350.88,10350.88,528.0,5.094668051965
161,1518945720000,10350.38,10408.21,10350.33,10400.27,1658.0,15.951253386456
162,1518945780000,10394.11,10394.11,10356.93,10389.43,506.0,4.873903386269999
163,1518945840000,10373.44,10387.36,10373.44,10387.36,18.0,0.17331337103
164,1518945900000,10363.6,10365.12,10360.0,10365.12,204.0,1.9686408360769998
165,1518945960000,10373.81,10373.81,10353.94,10360.79,130.0,1.254222128881
166,1518946020000,10360.0,10376.95,10360.0,10376.95,326.0,3.144414574268
167,1518946080000,10351.0,10351.0,10351.0,10351.0,204.0,1.970824074969
168,1518946140000,10351.98,10351.98,10346.94,10346.94,2188.0,21.136156717959
169,1518946200000,10347.31,10379.37,10347.31,10348.41,372.0,3.5898229977139997
170,1518946260000,10339.66,10358.37,10339.66,10346.47,1140.0,11.010487476117001
171,1518946320000,10339.66,10344.94,10316.61,10318.45,194.0,1.8768188423210002
172,1518946380000,10340.61,10347.31,10306.97,10307.45,128.0,1.240006146312
173,1518946440000,10307.78,10325.29,10307.78,10325.29,16.0,0.155029167519
174,1518946500000,10317.31,10327.5,10317.31,10323.7,3020.0,29.242383234203
175,1518946560000,10323.7,10324.74,10260.7,10271.26,798.0,7.744333733612
176,1518946620000,10254.92,10272.0,10232.87,10232.87,1252.0,12.231386737256
177,1518946680000,10232.87,10285.28,10232.87,10248.43,1194.0,11.638923624865
178,1518946740000,10250.64,10257.29,10226.51,10248.17,1166.0,11.384211403512001
179,1518946800000,10245.85,10245.85,10205.5,10212.0,108.0,1.057266454175
180,1518946860000,10219.81,10222.64,10212.5,10212.5,102.0,0.998268429958
181,1518946920000,10223.98,10254.35,10223.98,10237.57,234.0,2.287110684627
182,1518946980000,10255.54,10257.63,10224.34,10231.14,154.0,1.504055992695
183,1518947040000,10233.49,10252.04,10233.49,10243.36,1254.0,12.240527259121
184,1518947100000,10237.07,10263.59,10225.82,10239.77,296.0,2.888034074724
185,1518947160000,10239.77,10241.82,10222.6,10224.35,292.0,2.855365705995
186,1518947220000,10228.98,10233.0,10228.98,10233.0,1182.0,11.555289135376
187,1518947280000,10232.53,10234.39,10224.13,10234.39,78.0,0.7625364381190001
188,1518947340000,10221.0,10223.29,10142.35,10200.94,2894.0,28.422913159067
189,1518947400000,10185.2,10185.2,10183.1,10183.23,22.0,0.216038174815
190,1518947460000,10157.76,10168.07,10120.56,10167.91,1466.0,14.443461464876
191,1518947520000,10152.7,10168.89,10145.65,10159.79,198.0,1.949117172739
192,1518947580000,10176.79,10191.59,10157.93,10157.93,760.0,7.460914947449
193,1518947640000,10160.1,10170.83,10160.1,10166.0,1262.0,12.420822958605001
194,1518947700000,10150.5,10150.5,10123.08,10134.69,292.0,2.882284852185
195,1518947760000,10134.61,10158.99,10134.61,10155.3,128.0,1.261768615257
196,1518947820000,10155.57,10155.57,10122.44,10134.63,1412.0,13.927717391391
197,1518947880000,10132.18,10132.18,10119.26,10122.7,370.0,3.655480542098
198,1518947940000,10109.23,10121.4,10090.55,10121.4,338.0,3.34825656864
199,1518948000000,10124.43,10153.09,10124.37,10153.09,984.0,9.697941598539
200,1518948060000,10159.13,10191.94,10145.0,10188.8,602.0,5.931847433556
201,1518948120000,10188.8,10219.07,10188.8,10217.77,74.0,0.725187681886
202,1518948180000,10228.86,10228.86,10206.54,10209.73,848.0,8.302193248618
203,1518948240000,10225.05,10236.63,10223.75,10230.72,254.0,2.483495244544
204,1518948300000,10233.16,10236.87,10214.0,10232.95,320.0,3.130576858542
205,1518948360000,10233.26,10263.3,10232.51,10261.28,432.0,4.2143401013199995
206,1518948420000,10266.61,10271.53,10235.81,10235.81,1592.0,15.510733331847
207,1518948480000,10251.27,10276.38,10244.5,10276.38,3440.0,33.513539680334
208,1518948540000,10272.48,10279.18,10254.71,10279.18,824.0,8.028551375003001
209,1518948600000,10280.0,10302.37,10280.0,10301.01,992.0,9.637834029651
210,1518948660000,10300.32,10300.32,10278.4,10278.4,1760.0,17.109831534298
211,1518948720000,10276.4,10302.78,10276.4,10294.87,520.0,5.050675629701
212,1518948780000,10303.17,10303.17,10283.11,10299.5,222.0,2.1571262770599997
213,1518948840000,10290.05,10291.09,10282.31,10289.03,1962.0,19.072806043532
